"Country_Name";"Country_Code";"Indicator_Code";"Indicator_Name";"Debt"
"Albania";"ALB";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";535.0336
"Albania";"ALB";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";1826540000.0
"Albania";"ALB";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";249061125.2
"Albania";"ALB";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";7199100223.4
"Albania";"ALB";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";1218.58693577
"Albania";"ALB";"FI.RES.TOTL.MO";"Total reserves in months of imports";110.783424216
"Algeria";"DZA";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";158.255
"Algeria";"DZA";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";-169.0788
"Algeria";"DZA";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";248.0679
"Algeria";"DZA";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";524.343
"Algeria";"DZA";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";131.8606
"Algeria";"DZA";"BN.CAB.XOKA.CD";"Current account balance (current US$)";149410027106.04
"Algeria";"DZA";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Algeria";"DZA";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";87240000.0
"Algeria";"DZA";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-90864698.1
"Algeria";"DZA";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";0.0
"Algeria";"DZA";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";0.0
"Algeria";"DZA";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";1678.460060985
"Algeria";"DZA";"NY.GNP.MKTP.CD";"GNI (current US$)";3166437419236.0
"Algeria";"DZA";"DT.DIS.IDAG.CD";"IDA grants (current US$)";0.0
"Algeria";"DZA";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";0.0
"Algeria";"DZA";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";105.907578711
"Algeria";"DZA";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";1214662887.0
"Algeria";"DZA";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";264.7806
"Algeria";"DZA";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";0.0
"Algeria";"DZA";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Algeria";"DZA";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Algeria";"DZA";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";77808894818.7
"Algeria";"DZA";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";90864698.1
"Algeria";"DZA";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";14042597937.1
"Algeria";"DZA";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";386.8299
"Algeria";"DZA";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";4832910000.0
"Algeria";"DZA";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";15889170232.1
"Algeria";"DZA";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";-32722813848.0
"Algeria";"DZA";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";26581.407929303
"Algeria";"DZA";"FI.RES.TOTL.MO";"Total reserves in months of imports";359.078414347
"Angola";"AGO";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";44.3743
"Angola";"AGO";"DT.GRE.DPPG";"Average grant element on new external debt commitments (%)";18.9946
"Angola";"AGO";"DT.INR.DPPG";"Average interest on new external debt commitments (%)";146.3668
"Angola";"AGO";"DT.MAT.DPPG";"Average maturity on new external debt commitments (years)";240.689
"Angola";"AGO";"DT.DOD.ALLC.ZS";"Concessional debt (% of total external debt)";118.7714
"Angola";"AGO";"BN.CAB.XOKA.CD";"Current account balance (current US$)";52949986094.2
"Angola";"AGO";"DT.DSB.DPPG.CD";"Debt buyback (current US$)";0.0
"Angola";"AGO";"DT.DOD.MDRI.CD";"Debt forgiveness grants (current US$)";125890000.0
"Angola";"AGO";"DT.DFR.DPPG.CD";"Debt forgiveness or reduction (current US$)";-4909795981.3
"Angola";"AGO";"DT.DSF.DPPG.CD";"Debt stock reduction (current US$)";30026956.2
"Angola";"AGO";"DT.DXR.DPPG.CD";"Debt stock rescheduled (current US$)";386283000.0
"Angola";"AGO";"DT.DOD.DECT.GN.ZS";"External debt stocks (% of GNI)";3214.72230268
"Angola";"AGO";"NY.GNP.MKTP.CD";"GNI (current US$)";1029870027516.0
"Angola";"AGO";"DT.DIS.IDAG.CD";"IDA grants (current US$)";76807148.2
"Angola";"AGO";"DT.IXF.DPPG.CD";"Interest forgiven (current US$)";81248119.7
"Angola";"AGO";"DT.INT.DECT.GN.ZS";"Interest payments on external debt (% of GNI)";55.33835789
"Angola";"AGO";"DT.IXR.DPPG.CD";"Interest rescheduled (capitalized) (current US$)";837111631.5
"Angola";"AGO";"DT.DOD.MLAT.ZS";"Multilateral debt (% of total external debt)";63.1889
"Angola";"AGO";"DT.IXA.DPPG.CD.CG";"Net change in interest arrears (current US$)";-427396948.9
"Angola";"AGO";"DT.DOD.PVLX.GN.ZS";"Present value of external debt (% of GNI)";0.0
"Angola";"AGO";"DT.DOD.PVLX.CD";"Present value of external debt (current US$)";0.0
"Angola";"AGO";"BX.KLT.DREM.CD.DT";"Primary income on FDI (current US$)";86306934009.0
"Angola";"AGO";"DT.AXF.DPPG.CD";"Principal forgiven (current US$)";4879769025.1
"Angola";"AGO";"DT.AXR.DPPG.CD";"Principal rescheduled (current US$)";3010467770.6
"Angola";"AGO";"DT.DOD.DSTC.ZS";"Short-term debt (% of total external debt)";434.8865
"Angola";"AGO";"BX.GRT.TECH.CD.DT";"Technical cooperation grants (current US$)";1817810000.0
"Angola";"AGO";"DT.TXR.DPPG.CD";"Total amount of debt rescheduled (current US$)";4932503744.5
"Angola";"AGO";"DT.DOD.DECT.CD.CG";"Total change in external debt stocks (current US$)";37505461862.7
"Angola";"AGO";"FI.RES.TOTL.DT.ZS";"Total reserves (% of total external debt)";826.932127302
"Angola";"AGO";"FI.RES.TOTL.MO";"Total reserves in months of imports";63.121785456
"Argentina";"ARG";"DT.GPA.DPPG";"Average grace period on new external debt commitments (years)";235.4675
